object_id,image_id,word,label,score,matched_phrase,replacement,rewritten
6900,391158,dining table,1,0.11624800961464643,table,a surface,1
13555,174113,orange,1,0.11541859189048409,orange,an item,1
10075,271457,person,1,0.11536876752972602,people,someone,1
14564,321217,person,1,0.11515741551294922,people,someone,1
8502,28826,person,1,0.11428969761356711,people,someone,1
12363,6213,bottle,1,0.11385087005794048,bottles,items,1
14262,279387,car,1,0.11282366503030061,cars,vehicles,1
14078,252403,sink,1,0.11258315749466419,sink,an item,1
5283,175604,person,1,0.11197487160563468,person,someone,1
15666,474188,person,1,0.11196227826178073,people,someone,1
6026,282046,person,1,0.11167709331959486,people,someone,1
5595,221502,person,1,0.11135937634855508,person,someone,1
14431,304341,person,1,0.11116280488669872,people,someone,1
13605,181627,person,1,0.1109780379384756,person,someone,1
428,57238,cup,1,0.11095444288104772,cup,An item,1
1726,246717,handbag,1,0.11035532306879758,handbags,items,1
11226,428079,dining table,0,0.10967097047716379,table,a surface,1
8639,47611,person,1,0.10956679459661245,people,someone,1
14635,330750,person,1,0.10932495061308145,people,someone,1
10480,328785,car,1,0.10912322428077459,car,a vehicle,1
8130,559416,skis,1,0.1090151098370552,ski,some equipment,1
10087,273688,bowl,1,0.10867763951420784,bowl,an item,1
13939,231237,book,1,0.10854792304337024,books,items,1
8982,103815,bench,1,0.10848665878176689,bench,an item,1
460,63521,clock,1,0.108461684435606,clock,an item,1
5486,205190,car,1,0.10843135964125394,car,a vehicle,1
5315,180383,potted plant,1,0.10828432150185108,potted plant,a decorative item,1
4364,33489,handbag,1,0.10823838494718074,handbag,an item,1
4421,40686,bottle,1,0.10789938632398843,bottle,an item,1
6444,334311,person,1,0.10775077704340219,people,someone,1
12823,67180,handbag,1,0.10772443551570177,handbag,an item,1
15244,414034,tv,1,0.10771763499826192,television,a device,1
13228,126983,bottle,1,0.10759720101952552,bottles,some items,1
4830,108645,potted plant,1,0.10736273404210805,potted plant,a decorative item,1
266,36962,dining table,1,0.1073231491073966,table,surface,1
5001,135116,sports ball,1,0.10732061311602592,sports ball,an item,1
429,57238,bowl,1,0.10680572398006916,bowl,an item,1
1045,150091,car,1,0.10658009432256221,cars,vehicles,1
5086,146997,book,1,0.10653900902718305,books,some items,1
6191,303089,sink,1,0.10607971146702766,sink,an item,1
13178,121417,car,1,0.10591183591634035,car,a vehicle,1
5505,208648,car,1,0.10565931618213653,cars,vehicles,1
14633,330536,bottle,1,0.10565701860934495,bottle,an item,1
15838,498463,sink,1,0.1054945596307516,sink,an item,1
348,47524,sink,1,0.1054473415762186,sink,an item,1
7141,426342,cow,1,0.10514018300920724,bull,item,1
5880,262162,dining table,0,0.10486474186182021,desk,A surface,1
928,131203,chair,1,0.10482072539627552,chair,an item,1
11099,410878,person,1,0.104744094312191,people,someone,1
8684,53263,knife,1,0.1044667101278901,knives,items,1
861,122745,car,1,0.10433232121169567,cars,vehicles,1
2479,356494,airplane,0,0.10423888906836509,jet,a vehicle,1
3808,540288,cup,1,0.10417410254478454,cup,an item,1
3311,467988,dining table,0,0.104109066426754,desk,surface,1
9985,256251,chair,1,0.10404284007847309,chairs,some items,1
12496,22596,bird,1,0.10393759317696094,birds,items,1
12723,52386,bird,1,0.1039075319468975,birds,items,1
14352,293804,book,1,0.10387668468058109,book,an item,1
6673,361751,person,1,0.10386592417955398,person,Someone,1
15320,426253,person,1,0.10369362205266952,person,someone,1
12548,27768,handbag,1,0.10358628526329994,handbag,an item,1
11489,462364,bottle,1,0.10322297632694244,bottle,an item,1
15342,428161,handbag,1,0.10311690799891948,handbag,An item,1
12878,78194,remote,1,0.10288927972316741,remote,a device,1
925,130645,handbag,1,0.10288040794432163,handbag,an item,1
10393,316400,dining table,0,0.10276846606284379,dining table,a surface,1
12897,79689,bottle,1,0.10264982365071773,bottles,items,1
14887,367528,person,0,0.10249636404216289,pitcher,someone,1
6517,343852,cake,1,0.10241762444376945,cake,an item,1
11376,446206,handbag,1,0.10201454803347587,handbag,An item,1
1877,266611,car,1,0.10200125247240066,cars,vehicles,1
11886,522782,dining table,0,0.10196789063513279,desk,surface,1
8797,71914,apple,1,0.10185194469988346,apples,items,1
6129,296521,car,0,0.10124330304563045,cars,vehicles,1
4784,102517,handbag,1,0.10121142510324715,handbag,an item,1
3250,461655,chair,1,0.10113643936812877,chairs,some items,1
5206,164115,person,1,0.10112048581242561,people,someone,1
6076,289633,sink,1,0.10104356415569782,sink,an item,1
6679,362368,dining table,1,0.10083402030169963,dining table,a surface,1
7466,470704,person,1,0.10058186843991279,people,someone,1
2207,313562,dining table,0,0.1004086647927761,table,a surface,1
10396,316400,spoon,1,0.1002788396552205,spoon,an item,1
12453,15994,tv,1,0.10024849779903888,television,a device,1
14351,293804,clock,1,0.100049354955554,clock,An item,1
11208,425522,person,1,0.100010487139225,people,someone,1
3631,517973,truck,1,0.09971162386238575,truck,a vehicle,1
6824,382696,spoon,1,0.09956214472651481,spoon,an item,1
4465,48795,person,1,0.09931993566453456,people,Someone,1
7359,457217,dining table,0,0.09894916124641895,dining tables,some surfaces,1
5314,180383,chair,1,0.09887684404850006,chair,an item,1
6829,383107,dining table,0,0.09864522039890289,desk,A surface,1
1493,214698,person,1,0.0985935878753662,drivers,someone,1
7639,494629,dining table,0,0.09842704504728317,desk,a surface,1
15575,462211,handbag,1,0.0983941637724638,handbags,items,1
4200,12319,bird,1,0.09830849140882492,birds,items,1
3350,472030,person,1,0.0981422633677721,person,someone,1
1727,246717,person,1,0.09800018824636936,people,someone,1
10615,346207,dining table,0,0.09799696773290634,desk,surface,1
3654,523565,dining table,0,0.09793987952172756,table,a surface,1
3723,531349,car,1,0.09779612056910991,car,A vehicle,1
1275,183332,book,1,0.09760544344782829,books,items,1
1631,234697,car,1,0.09725449129939079,cars,vehicles,1
7831,525682,potted plant,1,0.0971374762058258,potted plant,A decorative item,1
4284,23369,car,1,0.09711643576622009,car,a vehicle,1
15044,386803,umbrella,1,0.09707595862448215,umbrellas,items,1
10926,386786,bowl,1,0.0970717117935419,bowl,item,1
8359,9450,bench,1,0.09696639969944953,bench,an item,1
7912,533217,handbag,1,0.09695734724402427,handbags,items,1
11750,502141,bird,1,0.09694704495370388,bird,An item,1
14617,328084,car,0,0.09689701739698647,car,vehicle,1
14946,373574,dining table,0,0.09678141295909881,desk,a surface,1
8267,578522,person,1,0.09674638777971267,people,someone,1
10184,289343,horse,1,0.09655917331576347,horse,an item,1
3337,469896,vase,1,0.09649087570607662,vase,an item,1
9860,236874,sports ball,0,0.09643879987299442,ball,an item,1
11824,513789,dining table,1,0.09632369957864284,table,surface,1
6073,289222,car,1,0.09611945681273937,car,A vehicle,1
3317,467988,cell phone,0,0.09597819939255714,cell phone,A device,1
8565,37900,dining table,1,0.09565888736397027,table,surface,1
9111,122839,cell phone,1,0.09565532848238945,telephone,device,1
13446,156372,person,1,0.09559083998203277,people,someone,1
1067,153055,cup,1,0.09558175399899482,cups,items,1
4712,90239,potted plant,1,0.09552105598151683,potted plant,a decorative item,1
260,35738,couch,1,0.0954392597824335,couch,an item,1
12047,544451,dining table,0,0.09524831660091876,desk,a surface,1
12909,81287,handbag,1,0.09496983222663402,handbags,items,1
7514,474344,sports ball,1,0.09490374371409416,ball,an item,1
6087,291528,knife,1,0.09465934418141841,knife,an item,1
14314,286662,bottle,1,0.0944987916201353,bottle,an item,1
5854,258209,bicycle,0,0.0944290541857481,bicycles,vehicles,1
5768,243456,bed,1,0.09428767941892147,bed,item,1
3099,444682,dining table,0,0.09407673858106136,desk,surface,1
4582,69805,chair,1,0.09399266995489597,chair,an item,1
16338,568502,bottle,1,0.09391317225992679,bottles,items,1
5004,135670,car,1,0.09388400696218013,car,vehicle,1
8123,558012,couch,1,0.0938606046885252,couch,an item,1
15614,466422,bench,1,0.09371122054755687,bench,an item,1
12389,9003,sports ball,0,0.09361165098845958,ball,item,1
1950,277674,cup,1,0.09341938875615596,cup,an item,1
278,38449,tie,1,0.09336314246058464,tie,an item,1
4372,33845,donut,1,0.09326407209038734,donuts,items,1
8252,577223,car,1,0.09319312579929828,car,a vehicle,1
4857,112664,bus,0,0.0930121437460184,bus,some vehicles,1
9750,223123,bird,1,0.09293939255177974,birds,items,1
10902,384503,truck,1,0.09288597375154495,truck,a vehicle,1
11492,463605,car,0,0.09283534705638885,car,vehicle,1
7471,471394,cell phone,1,0.09281035438179969,cell phone,A device,1
13270,131497,bed,0,0.09281011193990707,bed,an item,1
14005,240742,bottle,1,0.09280146926641464,bottle,An item,1
11307,437180,dining table,0,0.09278566099703311,table,a surface,1
6898,391158,person,1,0.09245341353118419,people,someone,1
4192,11262,dining table,0,0.0924095482379198,desk,surface,1
13061,105668,couch,1,0.0923462350666523,couch,an item,1
10670,353920,bottle,1,0.0922406268119812,bottle,An item,1
16386,575817,bottle,1,0.09215613164007663,bottle,An item,1
6012,280688,dining table,0,0.09214307449758052,desk,a surface,1
13702,196168,bottle,1,0.09201204299926757,bottle,an item,1
6999,404652,bottle,1,0.09198697552084922,bottle,an item,1
14468,307573,vase,1,0.09195830568671226,vase,an item,1
10375,313928,person,1,0.09195135988295078,people,someone,1
2160,307614,potted plant,0,0.09191973403096199,potted plant,A decorative item,1
3265,463360,dining table,0,0.09167486511170864,desk,a surface,1
6839,383703,microwave,1,0.09157741151750087,microwave,an appliance,1
3967,557321,book,1,0.09146391868591308,books,items,1
5703,234251,tv,1,0.09133410349488258,television,a device,1
6265,312412,person,1,0.09132935374975204,people,someone,1
15350,430546,bicycle,1,0.0912339024990797,bike,a vehicle,1
406,54133,person,1,0.09116009518504142,person,Someone,1
10027,263463,person,0,0.09104412503540515,people,someone,1
9596,198733,bicycle,1,0.09077510505914688,bicycles,vehicles,1
8969,102614,car,1,0.09076232155784963,car,a vehicle,1
15108,397101,sports ball,0,0.09073154523968696,ball,an item,1
9536,190041,sports ball,1,0.09067327920347451,sports balls,items,1
6860,385669,bench,1,0.09059405222535133,bench,an item,1
1362,195045,bird,1,0.09052988037467002,birds,items,1
8790,70020,sports ball,1,0.09040463425219059,ball,item,1
6875,388707,dining table,0,0.09037613049149512,desk,surface,1
592,84968,handbag,1,0.09031754069030284,handbag,an item,1
6991,404249,bench,1,0.09026745788753032,bench,an item,1
11163,420234,sports ball,1,0.09016309946775436,ball,an item,1
716,101031,handbag,1,0.08998577937483787,handbags,items,1
14493,309940,sports ball,1,0.08987736225128173,ball,an item,1
15890,506614,vase,1,0.08972677484154701,vase,an item,1
3605,514254,tv,1,0.08946370601654052,tv,a device,1
11324,439339,chair,1,0.08936033852398395,chair,an item,1
11408,449594,vase,1,0.0893513959646225,vase,an item,1
1299,186182,sink,1,0.08928001008927822,sink,an item,1
6331,321118,chair,1,0.0892135751247406,chair,an item,1
3071,440964,dining table,0,0.08912034414708614,desk,surface,1
12082,547759,cup,1,0.08911138668656349,cup,an item,1
15220,411484,car,1,0.08896663680672645,car,a vehicle,1
107,14635,potted plant,1,0.08882462128996849,potted plant,a decorative item,1
4765,98141,bottle,1,0.08879895590245723,bottles,items,1
5599,222299,cup,1,0.08850068494677543,cup,an item,1
2580,367569,dining table,0,0.08848838403820991,dining table,A surface,1
2604,369082,chair,1,0.08830129280686377,chair,an item,1
8010,543065,cup,1,0.08828492730855941,cups,some items,1
15326,427376,car,1,0.08826625987887382,car,a vehicle,1
13487,162415,sports ball,0,0.08825459226965904,ball,an item,1
9201,136140,chair,1,0.088189934566617,chair,an item,1
2189,310862,keyboard,1,0.08815064549446106,keyboards,items,1
6041,284097,baseball glove,1,0.08809107810258865,baseball gloves,equipment,1
10349,310725,bed,1,0.08804964914917945,bed,an item,1
3290,465184,clock,1,0.0879914154112339,clock,an item,1
4146,3580,cup,1,0.08794695034623146,cup,an item,1
7488,472478,knife,1,0.08789251640439033,knife,An item,1
9476,180479,cup,1,0.08787136793136596,cups,items,1
4147,3580,bottle,1,0.08785150840878486,bottle,an item,1
1736,248400,bottle,1,0.0878390584886074,bottle,an item,1
4585,70471,tv,1,0.087784333974123,tv,a device,1
11074,407386,cell phone,1,0.08771051362156868,cell phone,a device,1
10511,333630,bowl,1,0.08759883902966975,,,0
7504,473869,sink,1,0.08757801622152328,sink,an item,1
213,31043,vase,1,0.08754232048988342,vase,an item,1
5826,253441,bottle,1,0.08752922236919403,bottles,items,1
1120,158957,kite,1,0.08751704439520835,kites,items,1
9673,210794,potted plant,1,0.08723570302128791,potted plant,A decorative item,1
4965,128058,sports ball,1,0.08717079356312751,ball,item,1
14976,377881,tv,1,0.08702448651194572,tv,a device,1
12224,565597,fork,1,0.08699045971035957,fork,an item,1
3336,469896,chair,1,0.08692140400409698,chair,an item,1
2603,369082,dining table,1,0.08687662258744239,dining table,a surface,1
15586,463611,vase,1,0.08671561896800994,vase,An item,1
15744,487333,dining table,1,0.08670452505350112,table,a surface,1
6803,380348,knife,1,0.0866130170226097,knives,some items,1
11190,423618,sink,1,0.08658885106444358,sink,an item,1
12539,26942,person,1,0.08648095175623893,person,someone,1
