word,num_phrases,num_tokenizations,single_token_tokenizations,single_token_fraction,unique_action_tokens,max_tokenization_len
airplane,20,80,4,0.05,18,5
apple,2,8,2,0.25,4,3
backpack,4,16,0,0.0,4,4
banana,2,8,0,0.0,2,3
baseball bat,2,8,0,0.0,2,4
baseball glove,2,8,0,0.0,2,4
bear,4,16,3,0.1875,7,3
bed,2,8,2,0.25,4,3
bench,4,16,0,0.0,4,4
bicycle,10,40,0,0.0,11,4
bird,118,472,7,0.014830508474576272,103,5
boat,64,256,6,0.0234375,61,6
book,2,8,4,0.5,4,2
bottle,2,8,0,0.0,2,4
bowl,4,16,4,0.25,7,4
broccoli,2,8,0,0.0,2,4
bus,6,24,2,0.08333333333333333,7,4
cake,12,48,0,0.0,13,6
car,26,104,9,0.08653846153846154,33,5
carrot,2,8,0,0.0,2,4
cat,8,32,2,0.0625,13,4
cell phone,16,64,3,0.046875,15,5
chair,6,24,4,0.16666666666666666,9,3
clock,2,8,1,0.125,2,4
couch,14,56,0,0.0,14,5
cow,22,88,6,0.06818181818181818,24,4
cup,2,8,2,0.25,4,3
dining table,6,24,3,0.125,8,4
dog,61,244,4,0.01639344262295082,58,6
donut,6,24,0,0.0,6,5
elephant,2,8,0,0.0,2,4
fire hydrant,4,16,0,0.0,4,5
fork,2,8,1,0.125,3,4
frisbee,2,8,0,0.0,2,5
giraffe,2,8,0,0.0,2,5
hair drier,4,16,0,0.0,3,6
handbag,8,32,0,0.0,10,4
horse,26,104,4,0.038461538461538464,30,6
hot dog,2,8,0,0.0,2,3
keyboard,2,8,1,0.125,3,3
kite,2,8,0,0.0,2,3
knife,6,24,0,0.0,4,6
laptop,14,56,4,0.07142857142857142,15,4
microwave,2,8,0,0.0,2,4
motorcycle,12,48,0,0.0,7,5
mouse,2,8,2,0.25,4,3
orange,2,8,2,0.25,4,3
oven,8,32,0,0.0,4,6
parking meter,2,8,0,0.0,2,4
person,124,496,74,0.14919354838709678,171,5
pizza,2,8,0,0.0,2,4
potted plant,4,16,0,0.0,4,4
refrigerator,6,24,0,0.0,7,5
remote,2,8,1,0.125,3,3
sandwich,10,40,3,0.075,14,6
scissors,2,8,0,0.0,2,5
sheep,10,40,4,0.1,13,4
sink,2,8,1,0.125,3,3
skateboard,2,8,0,0.0,2,4
skis,3,12,2,0.16666666666666666,4,3
snowboard,2,8,0,0.0,2,3
spoon,2,8,0,0.0,3,3
sports ball,4,16,3,0.1875,6,3
stop sign,2,8,0,0.0,2,3
suitcase,6,24,0,0.0,4,4
surfboard,10,40,0,0.0,10,4
teddy bear,4,16,0,0.0,2,5
tennis racket,4,16,0,0.0,4,4
tie,6,24,3,0.125,7,4
toaster,2,8,0,0.0,2,4
toilet,10,40,0,0.0,13,4
toothbrush,2,8,0,0.0,2,6
traffic light,12,48,0,0.0,6,4
train,8,32,3,0.09375,10,4
truck,10,40,0,0.0,12,5
tv,8,32,4,0.125,10,4
umbrella,2,8,0,0.0,2,5
vase,2,8,0,0.0,2,3
wine glass,2,8,0,0.0,2,5
zebra,2,8,0,0.0,2,4
