split,question_id,image,target,question,present_objects,related_present,top_cooccurrence_neighbors,best_neighbor,target_score,best_neighbor_score,tdev_margin,vanilla,pai,clearsight,visattnsink,tdev,lh_absent_score,lh_pred_absent,neighbor_dominates,tdev_corrects_vanilla_fp,attention_yes_count
random,340,COCO_val2014_000000060213,dog,Is there a dog in the image?,backpack|bed|book,bed|book,frisbee|couch|bed|car|book|person|chair|sheep|cat|boat,bed,0.033,0.534,-0.501,yes,yes,yes,yes,no,2.121,1,1,1,3
random,772,COCO_val2014_000000203479,dog,Is there a dog in the image?,couch|cup|person|teddy bear,couch|person,frisbee|couch|bed|car|book|person|chair|sheep|cat|boat,couch,0.074,0.532,-0.458,yes,yes,yes,yes,no,-2.354,0,1,1,3
random,1720,COCO_val2014_000000354976,tie,Is there a tie in the image?,cell phone|chair|clock|laptop|mouse|person|tv,cell phone|chair|person,person|chair|handbag|wine glass|cell phone|cake|dining table|cup|knife|book,cell phone,0.012,0.467,-0.456,yes,yes,yes,yes,no,2.496,1,1,1,3
random,1772,COCO_val2014_000000281766,umbrella,Is there an umbrella in the image?,bicycle|handbag|person,bicycle|handbag|person,handbag|chair|backpack|person|car|bench|bicycle|boat|dining table|motorcycle,bicycle,0.115,0.464,-0.349,yes,yes,yes,yes,no,-1.328,0,1,1,3
random,96,COCO_val2014_000000300368,tie,Is there a tie in the image?,cake|dining table|knife|person,cake|dining table|knife|person,person|chair|handbag|wine glass|cell phone|cake|dining table|cup|knife|book,cake,0.052,0.457,-0.405,yes,yes,yes,yes,no,3.700,1,1,1,3
random,92,COCO_val2014_000000300368,teddy bear,Is there a teddy bear in the image?,cake|dining table|knife|person,cake,bed|book|couch|chair|potted plant|cat|tv|cake|tie|keyboard,cake,0.101,0.457,-0.356,yes,yes,yes,yes,no,-0.526,0,1,1,3
popular,2448,COCO_val2014_000000238029,cup,Is there a cup in the image?,dining table|fork|knife|pizza|wine glass,dining table|fork|knife|pizza|wine glass,dining table|bowl|bottle|spoon|knife|fork|chair|wine glass|pizza|sandwich,pizza,0.113,0.694,-0.581,yes,yes,yes,yes,no,-3.937,0,1,1,3
popular,2016,COCO_val2014_000000501294,chair,Is there a chair in the image?,couch|person|tv,couch|person|tv,dining table|cup|tv|couch|book|bottle|person|potted plant|laptop|bowl,tv,0.119,0.678,-0.559,yes,yes,yes,yes,no,-4.473,0,1,1,3
popular,2850,COCO_val2014_000000264155,cup,Is there a cup in the image?,bottle|dining table|fork|knife|person|pizza,bottle|dining table|fork|knife|pizza,dining table|bowl|bottle|spoon|knife|fork|chair|wine glass|pizza|sandwich,pizza,0.065,0.568,-0.503,yes,yes,yes,yes,no,1.623,1,1,1,3
popular,2334,COCO_val2014_000000303971,chair,Is there a chair in the image?,person|remote|tv,person|tv,dining table|cup|tv|couch|book|bottle|person|potted plant|laptop|bowl,tv,0.061,0.550,-0.488,yes,yes,yes,yes,no,1.837,1,1,1,3
popular,1020,COCO_val2014_000000278226,chair,Is there a chair in the image?,couch|cup|laptop|person,couch|cup|laptop|person,dining table|cup|tv|couch|book|bottle|person|potted plant|laptop|bowl,laptop,0.117,0.548,-0.431,yes,yes,yes,yes,no,0.372,0,1,1,3
popular,1512,COCO_val2014_000000023731,cup,Is there a cup in the image?,cat|chair|clock|dining table,chair|dining table,dining table|bowl|bottle|spoon|knife|fork|chair|wine glass|pizza|sandwich,chair,0.051,0.547,-0.496,yes,yes,yes,yes,no,1.957,1,1,1,3
adversarial,1110,COCO_val2014_000000040361,baseball glove,Is there a baseball glove in the image?,baseball bat|person,baseball bat|person,baseball bat|sports ball|bench|person|chair|car|backpack|bottle|truck|umbrella,baseball bat,0.089,0.829,-0.741,yes,yes,yes,yes,no,-2.410,0,1,1,3
adversarial,1232,COCO_val2014_000000049473,potted plant,Is there a potted plant in the image?,book|vase,book|vase,vase|couch|chair|dining table|book|tv|bottle|bowl|cup|remote,vase,0.053,0.789,-0.736,yes,yes,yes,yes,no,1.248,1,1,1,3
adversarial,804,COCO_val2014_000000147289,traffic light,Is there a traffic light in the image?,car|fire hydrant|stop sign,car|fire hydrant|stop sign,car|truck|bus|bicycle|train|handbag|motorcycle|fire hydrant|backpack|person,fire hydrant,0.064,0.772,-0.708,yes,yes,yes,yes,no,-3.127,0,1,1,3
adversarial,528,COCO_val2014_000000207205,bowl,Is there a bowl in the image?,broccoli|carrot|chair,broccoli|chair,spoon|dining table|cup|knife|bottle|fork|oven|chair|sink|broccoli,broccoli,0.096,0.703,-0.607,yes,yes,yes,yes,no,-2.855,0,1,1,3
adversarial,2446,COCO_val2014_000000238029,cup,Is there a cup in the image?,dining table|fork|knife|pizza|wine glass,dining table|fork|knife|pizza|wine glass,dining table|bowl|bottle|spoon|knife|fork|chair|wine glass|pizza|sandwich,pizza,0.113,0.694,-0.581,yes,yes,yes,yes,no,-3.937,0,1,1,3
adversarial,2016,COCO_val2014_000000501294,chair,Is there a chair in the image?,couch|person|tv,couch|person|tv,dining table|cup|tv|couch|book|bottle|person|potted plant|laptop|bowl,tv,0.119,0.678,-0.559,yes,yes,yes,yes,no,-4.473,0,1,1,3
